city,price,person_capacity,cleanliness_rating,bedrooms,city_center_km,metro_distance_km,guest_satisfaction
-1.40871111,-1.054767747,-0.109643011,0.590141418,-0.460131115,0.30237814,-0.292269597,0.14573818
-1.40871111,-1.096350898,-0.892807373,-2.324137189,-0.460131115,2.022626511,3.286247319,-3.327814308
0.174110362,-0.343992446,-0.892807373,0.590141418,-0.460131115,-0.187002862,1.150680772,-1.062453989
0.174110362,0.60454209,1.456685713,0.590141418,2.508456726,-0.97297841,-0.523141657,0.598810244
-1.013005742,0.61260539,-0.892807373,-0.866997886,-0.460131115,1.02903478,1.17953978,-1.062453989
-0.617300374,-0.581257379,0.673521351,0.590141418,-0.460131115,-0.261151498,-0.855020242,0.900858287
0.56981573,0.702321193,-0.892807373,-0.866997886,-0.460131115,3.886228913,0.616789136,-0.760405947
-0.221595006,-0.904252805,0.673521351,0.590141418,1.024162805,0.732440233,-0.37884662,0.447786223
0.965521098,0.011503333,-0.892807373,0.590141418,-0.460131115,-1.309118897,-0.595289175,0.749834265
1.361226466,0.145026646,-0.892807373,-2.324137189,1.024162805,0.421015959,-0.090256546,-0.156309862
-1.40871111,-1.05918557,0.673521351,0.590141418,1.024162805,-0.908716259,-0.364417116,0.296762202
0.965521098,0.302245557,0.673521351,0.590141418,1.024162805,0.539653778,-0.710725205,0.900858287
0.965521098,-0.552340715,0.673521351,0.590141418,-0.460131115,-0.740646016,-0.523141657,0.598810244
-1.804416478,1.997392285,0.673521351,0.590141418,1.024162805,-0.088138013,-0.595289175,0.598810244
-1.013005742,0.931028523,-0.892807373,0.590141418,-0.460131115,-0.533029833,-0.595289175,0.749834265
-0.617300374,-0.478813301,0.673521351,0.590141418,-0.460131115,-0.458881196,-0.725154708,0.900858287
-1.40871111,-1.061595292,0.673521351,-0.866997886,1.024162805,-0.888943289,-0.205692575,-0.005285841
0.965521098,-0.407510246,0.673521351,0.590141418,-0.460131115,1.745804934,-0.552000664,0.598810244
-1.40871111,-1.058475011,0.673521351,0.590141418,-0.460131115,-0.216662316,-0.494282649,0.447786223
0.174110362,0.031306305,0.673521351,0.590141418,-0.460131115,-0.923545986,0.01074998,-0.156309862
-0.617300374,-0.55589351,0.673521351,0.590141418,-0.460131115,-0.439108226,-0.840590738,0.900858287
0.174110362,-0.345011944,-0.892807373,0.590141418,-0.460131115,-0.162286649,1.251687298,-1.364502032
0.56981573,1.763927298,-0.892807373,0.590141418,-0.460131115,0.411129474,-0.826161234,0.900858287
0.174110362,0.303852039,1.456685713,0.590141418,2.508456726,-0.622008197,-0.349987612,0.296762202
-0.617300374,-0.643415848,-0.109643011,0.590141418,-0.460131115,-0.36495959,-0.321128605,0.14573818
0.174110362,-0.018710873,0.673521351,0.590141418,1.024162805,0.050272776,0.385917076,-0.609381926
-0.617300374,-0.631768859,-0.109643011,0.590141418,-0.460131115,0.870851022,-0.494282649,0.447786223
0.56981573,0.674918329,-0.892807373,-0.866997886,-0.460131115,-0.898829774,0.587930128,-0.760405947
-1.013005742,0.626754783,-0.892807373,0.590141418,-0.460131115,-0.211719074,0.299340054,-0.307333883
0.965521098,-0.580083412,-0.892807373,-0.866997886,-0.460131115,0.653348354,-0.407705627,0.447786223
0.965521098,-0.830601815,-0.892807373,0.590141418,-0.460131115,0.732440233,2.146316527,-2.119622138
0.965521098,-0.818893038,-0.892807373,-2.324137189,-0.460131115,-0.107910983,1.857726453,-1.666550074
0.965521098,-0.807585881,0.673521351,0.590141418,-0.460131115,0.870851022,-0.032538531,-0.156309862
0.56981573,0.844309426,-0.109643011,0.590141418,-0.460131115,-0.765362228,-0.176833568,-0.005285841
1.361226466,0.50407522,-0.892807373,0.590141418,-0.460131115,-1.398097261,-0.81173173,0.900858287
0.965521098,-0.620616171,0.673521351,0.590141418,1.024162805,-0.34518662,-0.349987612,0.296762202
0.174110362,0.318186795,0.673521351,0.590141418,-0.460131115,-0.013989376,-0.234551583,0.14573818
0.174110362,0.319329868,0.673521351,-0.866997886,-0.460131115,1.04880775,-0.234551583,0.14573818
-1.804416478,1.675354569,-0.892807373,-0.866997886,-0.460131115,-1.071843259,-0.104686049,-0.005285841
-0.221595006,-0.941510814,-0.892807373,-0.866997886,-0.460131115,-0.824681137,0.12618601,-0.156309862
