city,price,person_capacity,cleanliness_rating,bedrooms,city_center_km,metro_distance_km,guest_satisfaction
0.56981573,0.996925151,-0.109643011,-0.866997886,-0.460131115,0.109591685,-0.176833568,-0.005285841
-0.221595006,-0.86375094,1.456685713,0.590141418,2.508456726,-0.626951439,-0.624148182,0.900858287
-0.617300374,-0.807400518,-0.892807373,-2.324137189,-0.460131115,0.633575384,0.486923602,-0.760405947
-1.40871111,-1.096103747,-0.892807373,-2.324137189,-0.460131115,2.062172451,4.743627193,-4.384982457
-1.40871111,-1.04688981,1.456685713,0.590141418,1.024162805,1.142729356,-0.422135131,0.447786223
-1.40871111,-0.954300877,2.239850076,0.590141418,2.508456726,-0.7505325,-0.638577686,0.900858287
-1.40871111,-1.091129834,-0.109643011,-0.866997886,1.024162805,0.959829386,1.684572409,-1.515526053
0.965521098,-0.839591932,-0.892807373,-0.866997886,-0.460131115,-0.14251368,1.06410375,-1.062453989
0.965521098,-0.540539256,-0.892807373,0.590141418,-0.460131115,-0.735702773,-0.37884662,0.447786223
0.965521098,-0.742554282,-0.892807373,0.590141418,-0.460131115,-0.018932619,0.12618601,-0.156309862
0.965521098,-0.644713391,-0.892807373,0.590141418,-0.460131115,-0.933432471,-0.436564634,0.447786223
0.56981573,4.159963288,-0.892807373,0.590141418,-1.944425036,2.126434603,-0.739584212,0.900858287
0.174110362,-0.350943567,-0.892807373,-0.866997886,-0.460131115,1.533245509,2.00202149,-2.119622138
0.56981573,1.239750981,-0.892807373,0.590141418,-0.460131115,-0.414392014,-0.609718679,0.749834265
-1.40871111,-1.049732046,0.673521351,0.590141418,1.024162805,-0.636837924,-0.422135131,0.447786223
0.56981573,0.827410479,-0.892807373,-0.866997886,-0.460131115,-1.017467592,0.082897499,-0.156309862
0.56981573,1.326470078,-0.892807373,0.590141418,-1.944425036,-0.651667652,-0.826161234,0.900858287
1.361226466,0.263041235,-0.892807373,0.590141418,-1.944425036,-0.058478558,-0.479853145,0.447786223
0.174110362,1.162454515,2.239850076,0.590141418,2.508456726,-0.533029833,-0.754013716,0.900858287
0.965521098,-0.647926353,0.673521351,-0.866997886,-0.460131115,0.30237814,-0.119115553,-0.005285841
-0.221595006,-0.914293313,0.673521351,0.590141418,-0.460131115,-1.338778351,-0.595289175,0.749834265
0.965521098,-0.632850144,0.673521351,0.590141418,1.024162805,1.043864507,-0.277840094,0.14573818
