,Cluster,Bedrooms,City Center (km),Metro Distance (km)
0,Cluster 1,1.3865546218487392,1.7414285714285715,0.48310924369747904
1,Cluster 2,1.236111111111111,4.279027777777777,0.7761111111111112
2,Cluster 3,0.8888888888888888,8.926666666666666,2.126666666666667
