,Coeficienti,Erori standard,t_values,Probabilitati
Intercept,0.0012,0.074,0.016,0.987
person_capacity,-0.2783,0.115,-2.431,0.016
cleanliness_rating,-0.2949,0.107,-2.769,0.006
bedrooms,-0.1071,0.107,-1.005,0.316
city_center_km,0.0655,0.085,0.769,0.443
metro_distance_km,1.8254,0.466,3.913,0.0
guest_satisfaction,2.4406,0.493,4.951,0.0
